品种,合约,合约月份,日期,收盘价
棕榈油,p2609,09,20260617,9349.0
棕榈油,p2609,09,20260618,9301.0
棕榈油,p2609,09,20260622,9366.0
棕榈油,p2609,09,20260623,9308.0
棕榈油,p2609,09,20260624,9335.0
棕榈油,p2609,09,20260625,9160.0
棕榈油,p2609,09,20260626,9315.0
棕榈油,p2609,09,20260629,9379.0
棕榈油,p2609,09,20260630,9272.0
棕榈油,p2609,09,20260701,9268.0
棕榈油,p2609,09,20260702,9164.0
棕榈油,p2609,09,20260703,9104.0
棕榈油,p2609,09,20260706,9245.0
棕榈油,p2609,09,20260707,9340.0
棕榈油,p2609,09,20260708,9341.0
棕榈油,p2609,09,20260709,9354.0
棕榈油,p2609,09,20260710,9222.0
棕榈油,p2609,09,20260713,9212.0
棕榈油,p2609,09,20260714,9351.0
棕榈油,p2609,09,20260715,9279.0
棕榈油,p2609,09,20260716,9244.0
棕榈油,p2609,09,20260717,9232.0
棕榈油,p2609,09,20260720,9389.0
棕榈油,p2609,09,20260721,9240.0
棕榈油,p2609,09,20260722,9250.0
棕榈油,p2609,09,20260723,9515.0
棕榈油,p2609,09,20260724,9570.0
棕榈油,p2609,09,20260727,9380.0
棕榈油,p2609,09,20260728,9312.0
棕榈油,p2609,09,20260729,9385.0
棕榈油,p2609,09,20260730,9393.0
棕榈油,p2609,09,20260731,9281.0
棕榈油,p2609,09,20260803,9253.0
棕榈油,p2609,09,20260804,9299.0
棕榈油,p2609,09,20260805,9395.0
棕榈油,p2609,09,20260806,9385.0
棕榈油,p2609,09,20260807,9356.0
棕榈油,p2609,09,20260810,9406.0
棕榈油,p2609,09,20260811,9442.0
棕榈油,p2609,09,20260812,9378.0
棕榈油,p2609,09,20260813,9406.0
棕榈油,p2609,09,20260814,9499.0
棕榈油,p2609,09,20260817,9485.0
棕榈油,p2609,09,20260818,9535.0
棕榈油,p2609,09,20260819,9552.0
棕榈油,p2609,09,20260820,9733.0
棕榈油,p2609,09,20260821,9724.0
棕榈油,p2609,09,20260824,9711.0
棕榈油,p2609,09,20260825,9617.0
棕榈油,p2609,09,20260826,9552.0
棕榈油,p2609,09,20260827,9600.0
棕榈油,p2609,09,20260828,9665.0
棕榈油,p2609,09,20260831,9899.0
棕榈油,p2609,09,20260901,9823.0
棕榈油,p2609,09,20260902,9721.0
棕榈油,p2609,09,20260903,9697.0
棕榈油,p2611,11,20260724,9671.0
棕榈油,p2611,11,20260727,9507.0
棕榈油,p2611,11,20260728,9422.0
棕榈油,p2611,11,20260729,9491.0
棕榈油,p2611,11,20260730,9495.0
棕榈油,p2611,11,20260731,9383.0
棕榈油,p2611,11,20260803,9357.0
棕榈油,p2611,11,20260804,9404.0
棕榈油,p2611,11,20260805,9506.0
棕榈油,p2611,11,20260806,9501.0
棕榈油,p2611,11,20260807,9459.0
棕榈油,p2611,11,20260810,9511.0
棕榈油,p2611,11,20260811,9552.0
棕榈油,p2611,11,20260812,9476.0
棕榈油,p2611,11,20260813,9505.0
棕榈油,p2611,11,20260814,9591.0
棕榈油,p2611,11,20260817,9587.0
棕榈油,p2611,11,20260818,9668.0
棕榈油,p2611,11,20260819,9682.0
棕榈油,p2611,11,20260820,9865.0
棕榈油,p2611,11,20260821,9864.0
棕榈油,p2611,11,20260824,9830.0
棕榈油,p2611,11,20260825,9766.0
棕榈油,p2611,11,20260826,9697.0
棕榈油,p2611,11,20260827,9721.0
棕榈油,p2611,11,20260828,9830.0
棕榈油,p2611,11,20260831,9918.0
棕榈油,p2611,11,20260901,9947.0
棕榈油,p2611,11,20260902,9844.0
棕榈油,p2611,11,20260903,9878.0
棕榈油,p2701,01,20260119,8638.0
棕榈油,p2701,01,20260120,8652.0
棕榈油,p2701,01,20260121,8722.0
棕榈油,p2701,01,20260122,8844.0
棕榈油,p2701,01,20260123,8830.0
棕榈油,p2701,01,20260126,8946.0
棕榈油,p2701,01,20260127,9052.0
棕榈油,p2701,01,20260128,9078.0
棕榈油,p2701,01,20260129,9160.0
棕榈油,p2701,01,20260130,9048.0
棕榈油,p2701,01,20260202,8866.0
棕榈油,p2701,01,20260203,8960.0
棕榈油,p2701,01,20260204,8972.0
棕榈油,p2701,01,20260205,8952.0
棕榈油,p2701,01,20260206,8940.0
棕榈油,p2701,01,20260209,8916.0
棕榈油,p2701,01,20260210,8850.0
棕榈油,p2701,01,20260211,8840.0
棕榈油,p2701,01,20260212,8750.0
棕榈油,p2701,01,20260213,8658.0
棕榈油,p2701,01,20260224,8802.0
棕榈油,p2701,01,20260225,8850.0
棕榈油,p2701,01,20260226,8734.0
棕榈油,p2701,01,20260227,8780.0
棕榈油,p2701,01,20260302,8888.0
棕榈油,p2701,01,20260303,8972.0
棕榈油,p2701,01,20260304,8980.0
棕榈油,p2701,01,20260305,9052.0
棕榈油,p2701,01,20260306,9136.0
棕榈油,p2701,01,20260309,9546.0
棕榈油,p2701,01,20260310,9326.0
棕榈油,p2701,01,20260311,9350.0
棕榈油,p2701,01,20260312,9464.0
棕榈油,p2701,01,20260313,9498.0
棕榈油,p2701,01,20260316,9654.0
棕榈油,p2701,01,20260317,9582.0
棕榈油,p2701,01,20260318,9476.0
棕榈油,p2701,01,20260319,9470.0
棕榈油,p2701,01,20260320,9450.0
棕榈油,p2701,01,20260323,9652.0
棕榈油,p2701,01,20260324,9492.0
棕榈油,p2701,01,20260325,9400.0
棕榈油,p2701,01,20260326,9496.0
棕榈油,p2701,01,20260327,9568.0
棕榈油,p2701,01,20260330,9592.0
棕榈油,p2701,01,20260331,9710.0
棕榈油,p2701,01,20260401,9566.0
棕榈油,p2701,01,20260402,9758.0
棕榈油,p2701,01,20260403,9762.0
棕榈油,p2701,01,20260407,9748.0
棕榈油,p2701,01,20260408,9348.0
棕榈油,p2701,01,20260409,9446.0
棕榈油,p2701,01,20260410,9436.0
棕榈油,p2701,01,20260413,9381.0
棕榈油,p2701,01,20260414,9302.0
棕榈油,p2701,01,20260415,9279.0
棕榈油,p2701,01,20260416,9295.0
棕榈油,p2701,01,20260417,9360.0
棕榈油,p2701,01,20260420,9389.0
棕榈油,p2701,01,20260421,9621.0
棕榈油,p2701,01,20260422,9733.0
棕榈油,p2701,01,20260423,9747.0
棕榈油,p2701,01,20260424,9771.0
棕榈油,p2701,01,20260427,9791.0
棕榈油,p2701,01,20260428,9788.0
棕榈油,p2701,01,20260429,9784.0
棕榈油,p2701,01,20260430,9850.0
棕榈油,p2701,01,20260506,9911.0
棕榈油,p2701,01,20260507,9805.0
棕榈油,p2701,01,20260508,9751.0
棕榈油,p2701,01,20260511,9749.0
棕榈油,p2701,01,20260512,9649.0
棕榈油,p2701,01,20260513,9598.0
棕榈油,p2701,01,20260514,9524.0
棕榈油,p2701,01,20260515,9520.0
棕榈油,p2701,01,20260518,9685.0
棕榈油,p2701,01,20260519,9792.0
棕榈油,p2701,01,20260520,9822.0
棕榈油,p2701,01,20260521,9686.0
棕榈油,p2701,01,20260522,9651.0
棕榈油,p2701,01,20260525,9645.0
棕榈油,p2701,01,20260526,9627.0
棕榈油,p2701,01,20260527,9719.0
棕榈油,p2701,01,20260528,9791.0
棕榈油,p2701,01,20260529,9797.0
棕榈油,p2701,01,20260601,9960.0
棕榈油,p2701,01,20260602,9934.0
棕榈油,p2701,01,20260603,10014.0
棕榈油,p2701,01,20260604,9849.0
棕榈油,p2701,01,20260605,9686.0
棕榈油,p2701,01,20260608,9710.0
棕榈油,p2701,01,20260609,9557.0
棕榈油,p2701,01,20260610,9588.0
棕榈油,p2701,01,20260611,9670.0
棕榈油,p2701,01,20260612,9592.0
棕榈油,p2701,01,20260615,9499.0
棕榈油,p2701,01,20260616,9602.0
棕榈油,p2701,01,20260617,9622.0
棕榈油,p2701,01,20260618,9572.0
棕榈油,p2701,01,20260622,9631.0
棕榈油,p2701,01,20260623,9588.0
棕榈油,p2701,01,20260624,9611.0
棕榈油,p2701,01,20260625,9436.0
棕榈油,p2701,01,20260626,9565.0
棕榈油,p2701,01,20260629,9620.0
棕榈油,p2701,01,20260630,9530.0
棕榈油,p2701,01,20260701,9527.0
棕榈油,p2701,01,20260702,9443.0
棕榈油,p2701,01,20260703,9387.0
棕榈油,p2701,01,20260706,9518.0
棕榈油,p2701,01,20260707,9605.0
棕榈油,p2701,01,20260708,9614.0
棕榈油,p2701,01,20260709,9630.0
棕榈油,p2701,01,20260710,9516.0
棕榈油,p2701,01,20260713,9509.0
棕榈油,p2701,01,20260714,9638.0
棕榈油,p2701,01,20260715,9573.0
棕榈油,p2701,01,20260716,9540.0
棕榈油,p2701,01,20260717,9530.0
棕榈油,p2701,01,20260720,9670.0
棕榈油,p2701,01,20260721,9538.0
棕榈油,p2701,01,20260722,9543.0
棕榈油,p2701,01,20260723,9795.0
棕榈油,p2701,01,20260724,9843.0
棕榈油,p2701,01,20260727,9675.0
棕榈油,p2701,01,20260728,9600.0
棕榈油,p2701,01,20260729,9664.0
棕榈油,p2701,01,20260730,9660.0
棕榈油,p2701,01,20260731,9567.0
棕榈油,p2701,01,20260803,9542.0
棕榈油,p2701,01,20260804,9594.0
棕榈油,p2701,01,20260805,9690.0
棕榈油,p2701,01,20260806,9688.0
棕榈油,p2701,01,20260807,9662.0
棕榈油,p2701,01,20260810,9710.0
棕榈油,p2701,01,20260811,9744.0
棕榈油,p2701,01,20260812,9691.0
棕榈油,p2701,01,20260813,9735.0
棕榈油,p2701,01,20260814,9838.0
棕榈油,p2701,01,20260817,9838.0
棕榈油,p2701,01,20260818,9946.0
棕榈油,p2701,01,20260819,9994.0
棕榈油,p2701,01,20260820,10160.0
棕榈油,p2701,01,20260821,10160.0
棕榈油,p2701,01,20260824,10145.0
棕榈油,p2701,01,20260825,10079.0
棕榈油,p2701,01,20260826,10002.0
棕榈油,p2701,01,20260827,10045.0
棕榈油,p2701,01,20260828,10171.0
棕榈油,p2701,01,20260831,10283.0
棕榈油,p2701,01,20260901,10297.0
棕榈油,p2701,01,20260902,10186.0
棕榈油,p2701,01,20260903,10217.0
棕榈油,p2703,03,20260804,9668.0
棕榈油,p2703,03,20260805,9767.0
棕榈油,p2703,03,20260806,9764.0
棕榈油,p2703,03,20260807,9748.0
棕榈油,p2703,03,20260810,9789.0
棕榈油,p2703,03,20260811,9830.0
棕榈油,p2703,03,20260812,9798.0
棕榈油,p2703,03,20260813,9863.0
棕榈油,p2703,03,20260814,9975.0
棕榈油,p2703,03,20260817,9999.0
棕榈油,p2703,03,20260818,10129.0
棕榈油,p2703,03,20260819,10176.0
棕榈油,p2703,03,20260820,10331.0
棕榈油,p2703,03,20260821,10325.0
棕榈油,p2703,03,20260824,10340.0
棕榈油,p2703,03,20260825,10265.0
棕榈油,p2703,03,20260826,10198.0
棕榈油,p2703,03,20260827,10265.0
棕榈油,p2703,03,20260828,10408.0
棕榈油,p2703,03,20260831,10536.0
棕榈油,p2703,03,20260901,10563.0
棕榈油,p2703,03,20260902,10483.0
棕榈油,p2703,03,20260903,10515.0
棕榈油,p2705,05,20260520,9775.0
棕榈油,p2705,05,20260521,9598.0
棕榈油,p2705,05,20260522,9611.0
棕榈油,p2705,05,20260525,9590.0
棕榈油,p2705,05,20260526,9584.0
棕榈油,p2705,05,20260527,9645.0
棕榈油,p2705,05,20260528,9700.0
棕榈油,p2705,05,20260529,9708.0
棕榈油,p2705,05,20260601,9895.0
棕榈油,p2705,05,20260602,9892.0
棕榈油,p2705,05,20260603,9972.0
棕榈油,p2705,05,20260604,9816.0
棕榈油,p2705,05,20260605,9678.0
棕榈油,p2705,05,20260608,9711.0
棕榈油,p2705,05,20260609,9610.0
棕榈油,p2705,05,20260610,9628.0
棕榈油,p2705,05,20260611,9703.0
棕榈油,p2705,05,20260612,9622.0
棕榈油,p2705,05,20260615,9519.0
棕榈油,p2705,05,20260616,9621.0
棕榈油,p2705,05,20260617,9641.0
棕榈油,p2705,05,20260618,9597.0
棕榈油,p2705,05,20260622,9633.0
棕榈油,p2705,05,20260623,9580.0
棕榈油,p2705,05,20260624,9606.0
棕榈油,p2705,05,20260625,9440.0
棕榈油,p2705,05,20260626,9544.0
棕榈油,p2705,05,20260629,9596.0
棕榈油,p2705,05,20260630,9521.0
棕榈油,p2705,05,20260701,9518.0
棕榈油,p2705,05,20260702,9442.0
棕榈油,p2705,05,20260703,9394.0
棕榈油,p2705,05,20260706,9498.0
棕榈油,p2705,05,20260707,9580.0
棕榈油,p2705,05,20260708,9605.0
棕榈油,p2705,05,20260709,9613.0
棕榈油,p2705,05,20260710,9512.0
棕榈油,p2705,05,20260713,9538.0
棕榈油,p2705,05,20260714,9654.0
棕榈油,p2705,05,20260715,9610.0
棕榈油,p2705,05,20260716,9592.0
棕榈油,p2705,05,20260717,9568.0
棕榈油,p2705,05,20260720,9697.0
棕榈油,p2705,05,20260721,9572.0
棕榈油,p2705,05,20260722,9587.0
棕榈油,p2705,05,20260723,9815.0
棕榈油,p2705,05,20260724,9865.0
棕榈油,p2705,05,20260727,9704.0
棕榈油,p2705,05,20260728,9640.0
棕榈油,p2705,05,20260729,9701.0
棕榈油,p2705,05,20260730,9692.0
棕榈油,p2705,05,20260731,9606.0
棕榈油,p2705,05,20260803,9603.0
棕榈油,p2705,05,20260804,9687.0
棕榈油,p2705,05,20260805,9781.0
棕榈油,p2705,05,20260806,9786.0
棕榈油,p2705,05,20260807,9787.0
棕榈油,p2705,05,20260810,9842.0
棕榈油,p2705,05,20260811,9880.0
棕榈油,p2705,05,20260812,9878.0
棕榈油,p2705,05,20260813,9938.0
棕榈油,p2705,05,20260814,10015.0
棕榈油,p2705,05,20260817,10058.0
棕榈油,p2705,05,20260818,10158.0
棕榈油,p2705,05,20260819,10228.0
棕榈油,p2705,05,20260820,10379.0
棕榈油,p2705,05,20260821,10366.0
棕榈油,p2705,05,20260824,10391.0
棕榈油,p2705,05,20260825,10309.0
棕榈油,p2705,05,20260826,10250.0
棕榈油,p2705,05,20260827,10340.0
棕榈油,p2705,05,20260828,10505.0
棕榈油,p2705,05,20260831,10636.0
棕榈油,p2705,05,20260901,10677.0
棕榈油,p2705,05,20260902,10582.0
棕榈油,p2705,05,20260903,10623.0
菜油,OI2609,09,20260105,9009.0
菜油,OI2609,09,20260106,9078.0
菜油,OI2609,09,20260107,9081.0
菜油,OI2609,09,20260108,8943.0
菜油,OI2609,09,20260109,9021.0
菜油,OI2609,09,20260112,8962.0
菜油,OI2609,09,20260113,8986.0
菜油,OI2609,09,20260114,8930.0
菜油,OI2609,09,20260115,8814.0
菜油,OI2609,09,20260116,9010.0
菜油,OI2609,09,20260119,8923.0
菜油,OI2609,09,20260120,8975.0
菜油,OI2609,09,20260121,8938.0
菜油,OI2609,09,20260122,8973.0
菜油,OI2609,09,20260123,8963.0
菜油,OI2609,09,20260126,9255.0
菜油,OI2609,09,20260127,9265.0
菜油,OI2609,09,20260128,9271.0
菜油,OI2609,09,20260129,9377.0
菜油,OI2609,09,20260130,9287.0
菜油,OI2609,09,20260202,9064.0
菜油,OI2609,09,20260203,9135.0
菜油,OI2609,09,20260204,9178.0
菜油,OI2609,09,20260205,9086.0
菜油,OI2609,09,20260206,9090.0
菜油,OI2609,09,20260209,9103.0
菜油,OI2609,09,20260210,9075.0
菜油,OI2609,09,20260211,9103.0
菜油,OI2609,09,20260212,9024.0
菜油,OI2609,09,20260213,9010.0
菜油,OI2609,09,20260224,9171.0
菜油,OI2609,09,20260225,9225.0
菜油,OI2609,09,20260226,9164.0
菜油,OI2609,09,20260227,9179.0
菜油,OI2609,09,20260302,9330.0
菜油,OI2609,09,20260303,9410.0
菜油,OI2609,09,20260304,9401.0
菜油,OI2609,09,20260305,9415.0
菜油,OI2609,09,20260306,9561.0
菜油,OI2609,09,20260309,9832.0
菜油,OI2609,09,20260310,9620.0
菜油,OI2609,09,20260311,9661.0
菜油,OI2609,09,20260312,9667.0
菜油,OI2609,09,20260313,9703.0
菜油,OI2609,09,20260316,9829.0
菜油,OI2609,09,20260317,9699.0
菜油,OI2609,09,20260318,9639.0
菜油,OI2609,09,20260319,9708.0
菜油,OI2609,09,20260320,9743.0
菜油,OI2609,09,20260323,9831.0
菜油,OI2609,09,20260324,9705.0
菜油,OI2609,09,20260325,9619.0
菜油,OI2609,09,20260326,9738.0
菜油,OI2609,09,20260327,9780.0
菜油,OI2609,09,20260330,9793.0
菜油,OI2609,09,20260331,9791.0
菜油,OI2609,09,20260401,9643.0
菜油,OI2609,09,20260402,9750.0
菜油,OI2609,09,20260403,9693.0
菜油,OI2609,09,20260407,9709.0
菜油,OI2609,09,20260408,9409.0
菜油,OI2609,09,20260409,9425.0
菜油,OI2609,09,20260410,9440.0
菜油,OI2609,09,20260413,9415.0
菜油,OI2609,09,20260414,9414.0
菜油,OI2609,09,20260415,9414.0
菜油,OI2609,09,20260416,9403.0
菜油,OI2609,09,20260417,9460.0
菜油,OI2609,09,20260420,9514.0
菜油,OI2609,09,20260421,9581.0
菜油,OI2609,09,20260422,9662.0
菜油,OI2609,09,20260423,9648.0
菜油,OI2609,09,20260424,9697.0
菜油,OI2609,09,20260427,9715.0
菜油,OI2609,09,20260428,9780.0
菜油,OI2609,09,20260429,9900.0
菜油,OI2609,09,20260430,9913.0
菜油,OI2609,09,20260506,9935.0
菜油,OI2609,09,20260507,9882.0
菜油,OI2609,09,20260508,9755.0
菜油,OI2609,09,20260511,9757.0
菜油,OI2609,09,20260512,9694.0
菜油,OI2609,09,20260513,9665.0
菜油,OI2609,09,20260514,9681.0
菜油,OI2609,09,20260515,9537.0
菜油,OI2609,09,20260518,9577.0
菜油,OI2609,09,20260519,9789.0
菜油,OI2609,09,20260520,9864.0
菜油,OI2609,09,20260521,9726.0
菜油,OI2609,09,20260522,9625.0
菜油,OI2609,09,20260525,9625.0
菜油,OI2609,09,20260526,9626.0
菜油,OI2609,09,20260527,9672.0
菜油,OI2609,09,20260528,9886.0
菜油,OI2609,09,20260529,9906.0
菜油,OI2609,09,20260601,9933.0
菜油,OI2609,09,20260602,9990.0
菜油,OI2609,09,20260603,10353.0
菜油,OI2609,09,20260604,10312.0
菜油,OI2609,09,20260605,9990.0
菜油,OI2609,09,20260608,10011.0
菜油,OI2609,09,20260609,9910.0
菜油,OI2609,09,20260610,9883.0
菜油,OI2609,09,20260611,9958.0
菜油,OI2609,09,20260612,9874.0
菜油,OI2609,09,20260615,9828.0
菜油,OI2609,09,20260616,9869.0
菜油,OI2609,09,20260617,9790.0
菜油,OI2609,09,20260618,9685.0
菜油,OI2609,09,20260622,9669.0
菜油,OI2609,09,20260623,9659.0
菜油,OI2609,09,20260624,9750.0
菜油,OI2609,09,20260625,9547.0
菜油,OI2609,09,20260626,9660.0
菜油,OI2609,09,20260629,9746.0
菜油,OI2609,09,20260630,9670.0
菜油,OI2609,09,20260701,9588.0
菜油,OI2609,09,20260702,9571.0
菜油,OI2609,09,20260703,9644.0
菜油,OI2609,09,20260706,9741.0
菜油,OI2609,09,20260707,9858.0
菜油,OI2609,09,20260708,9844.0
菜油,OI2609,09,20260709,9902.0
菜油,OI2609,09,20260710,9908.0
菜油,OI2609,09,20260713,9875.0
菜油,OI2609,09,20260714,9944.0
菜油,OI2609,09,20260715,9936.0
菜油,OI2609,09,20260716,10037.0
菜油,OI2609,09,20260717,9936.0
菜油,OI2609,09,20260720,10050.0
菜油,OI2609,09,20260721,10037.0
菜油,OI2609,09,20260722,9949.0
菜油,OI2609,09,20260723,10175.0
菜油,OI2609,09,20260724,10281.0
菜油,OI2609,09,20260727,9991.0
菜油,OI2609,09,20260728,9892.0
菜油,OI2609,09,20260729,9922.0
菜油,OI2609,09,20260730,9893.0
菜油,OI2609,09,20260731,9894.0
菜油,OI2609,09,20260803,9891.0
菜油,OI2609,09,20260804,10086.0
菜油,OI2609,09,20260805,10081.0
菜油,OI2609,09,20260806,10151.0
菜油,OI2609,09,20260807,10144.0
菜油,OI2609,09,20260810,10114.0
菜油,OI2609,09,20260811,10164.0
菜油,OI2609,09,20260812,10128.0
菜油,OI2609,09,20260813,10223.0
菜油,OI2609,09,20260814,10510.0
菜油,OI2609,09,20260817,10532.0
菜油,OI2609,09,20260818,10504.0
菜油,OI2609,09,20260819,10615.0
菜油,OI2609,09,20260820,10756.0
菜油,OI2609,09,20260821,10552.0
菜油,OI2609,09,20260824,10461.0
菜油,OI2609,09,20260825,10360.0
菜油,OI2609,09,20260826,10342.0
菜油,OI2609,09,20260827,10320.0
菜油,OI2609,09,20260828,10310.0
菜油,OI2609,09,20260831,10468.0
菜油,OI2609,09,20260901,10490.0
菜油,OI2609,09,20260902,10400.0
菜油,OI2609,09,20260903,10376.0
菜油,OI2611,11,20260724,10276.0
菜油,OI2611,11,20260727,9990.0
菜油,OI2611,11,20260728,9899.0
菜油,OI2611,11,20260729,9935.0
菜油,OI2611,11,20260730,9915.0
菜油,OI2611,11,20260731,9908.0
菜油,OI2611,11,20260803,9893.0
菜油,OI2611,11,20260804,10052.0
菜油,OI2611,11,20260805,10033.0
菜油,OI2611,11,20260806,10050.0
菜油,OI2611,11,20260807,10046.0
菜油,OI2611,11,20260810,10071.0
菜油,OI2611,11,20260811,10126.0
菜油,OI2611,11,20260812,10103.0
菜油,OI2611,11,20260813,10187.0
菜油,OI2611,11,20260814,10431.0
菜油,OI2611,11,20260817,10428.0
菜油,OI2611,11,20260818,10417.0
菜油,OI2611,11,20260819,10568.0
菜油,OI2611,11,20260820,10682.0
菜油,OI2611,11,20260821,10490.0
菜油,OI2611,11,20260824,10412.0
菜油,OI2611,11,20260825,10281.0
菜油,OI2611,11,20260826,10291.0
菜油,OI2611,11,20260827,10297.0
菜油,OI2611,11,20260828,10333.0
菜油,OI2611,11,20260831,10377.0
菜油,OI2611,11,20260901,10389.0
菜油,OI2611,11,20260902,10311.0
菜油,OI2611,11,20260903,10284.0
菜油,OI2701,01,20260119,8851.0
菜油,OI2701,01,20260120,8889.0
菜油,OI2701,01,20260121,8904.0
菜油,OI2701,01,20260122,8928.0
菜油,OI2701,01,20260123,8938.0
菜油,OI2701,01,20260126,9222.0
菜油,OI2701,01,20260127,9188.0
菜油,OI2701,01,20260128,9181.0
菜油,OI2701,01,20260129,9255.0
菜油,OI2701,01,20260130,9203.0
菜油,OI2701,01,20260202,8959.0
菜油,OI2701,01,20260203,9060.0
菜油,OI2701,01,20260204,9102.0
菜油,OI2701,01,20260205,9059.0
菜油,OI2701,01,20260206,9040.0
菜油,OI2701,01,20260209,9045.0
菜油,OI2701,01,20260210,9025.0
菜油,OI2701,01,20260211,9050.0
菜油,OI2701,01,20260212,8993.0
菜油,OI2701,01,20260213,8954.0
菜油,OI2701,01,20260224,9130.0
菜油,OI2701,01,20260225,9173.0
菜油,OI2701,01,20260226,9119.0
菜油,OI2701,01,20260227,9132.0
菜油,OI2701,01,20260302,9280.0
菜油,OI2701,01,20260303,9357.0
菜油,OI2701,01,20260304,9364.0
菜油,OI2701,01,20260305,9379.0
菜油,OI2701,01,20260306,9522.0
菜油,OI2701,01,20260309,9793.0
菜油,OI2701,01,20260310,9574.0
菜油,OI2701,01,20260311,9609.0
菜油,OI2701,01,20260312,9625.0
菜油,OI2701,01,20260313,9606.0
菜油,OI2701,01,20260316,9744.0
菜油,OI2701,01,20260317,9611.0
菜油,OI2701,01,20260318,9550.0
